Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Software Developer 2,2025-03-08,https://jobright.ai/jobs/info/67cd50b7addf2ce81015a363?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Nashville, TN
Austin, TX
United States",Oracle,10000+,"Data Governance,Data Management",$73700-$158200 /yr,"1. 1+ years distributed service engineering experience in a software development environment
2. Experience driving feature design reviews, documentation, UX reviews, and working with Product Managers through the entire launch process
3. Strong development experience in Java, C++, C#, or similar OO languages
4. Strong knowledge of data structures, algorithms, operating systems, and distributed systems fundamentals
5. Good understanding of databases, NoSQL systems, storage and distributed persistence technologies
...",not sure,
Applications Engineer I,2025-03-08,https://jobright.ai/jobs/info/67cd3c27f15771024232ce53?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Austin, TX
Austin",Silicon Labs,1001-5000,"Hardware,Internet of Things",$78050-$144950 /yr,"1. BS/MS/PhD in Electrical Engineering, Computer Engineering, Computer Science, or a related field
2. Strong embedded C programming skills: Ability to troubleshoot and debug code, devices, and systems
3. Understanding of embedded peripherals, such as ADC, DAC, SPI, I2C, UART
4. Hardware knowledge to perform schematic and layout reviews for customers
5. Strong communication skills to interact with internal and external stakeholders
...",not sure,
Junior Software Engineer,2025-03-08,https://jobright.ai/jobs/info/67cd1816c5474976e131cb51?utm_source=1100&utm_campaign=Software Engineering,On Site,"St. Petersburg, FL",SureCost,11-50,"Small and Medium Businesses,Software",$80K-$90K /yr,"1. 1-3 years of professional experience in software engineering
2. Familiarity with programming languages such as Java, Python, or JavaScript
3. Basic understanding of object-oriented design principles and software development methodologies
4. Experience with SQL and relational databases
5. Exposure to web development frameworks and tools (e.g., Spring, React, or similar)
...",no,
Software Engineer,2025-03-08,https://jobright.ai/jobs/info/67cc9c0c90e4f33942822a39?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Burlington, MA",Oracle,10000+,"Data Governance,Data Management",$73700-$158200 /yr,"1. B.Sc. in Computer Science or equivalent.
2. 1-3 years of experience in software development, preferably in cloud engineering.
3. Proficiency in Java and experience with scripting languages such as Python, Perl, etc.
4. Strong knowledge of data structures, algorithms, operating systems, and distributed systems.
5. Strong written and verbal communication skills, with ability to present complex information in a clear and concise manner.",not sure,
Software Engineer iOS Retail Engineering,2025-03-08,https://jobright.ai/jobs/info/67cc92958ad95fc806706d37?utm_source=1100&utm_campaign=Software Engineering,On Site,"Sunnyvale, CA",Apple,10000+,"Artificial Intelligence (AI),Consumer Electronics",$143K-$214K /yr,"1. Experience in Swift and SwiftUI.
2. Experience in data structures.
3. Experience in strong problem-solving and debugging skills.
4. Collaborative and communicative team player.",not sure,
Data Infrastructure Engineer II,2025-03-08,https://jobright.ai/jobs/info/67ca7b7e906a3c5d2be854cd?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
United States
Buffalo, NY",ACV Auctions,1001-5000,"Apps,Automotive",$90K-$113K /yr,"1. Ability to read, write, speak and understand English.
2. Bachelor’s degree in computer science, Information Technology, or a related field (or equivalent work experience)
3. Strong communication and collaboration skills, with the ability to work effectively in a fast paced global team environment
4. 1+ years experience architecting, developing, and delivering software products with emphasis on data infrastructure layer
5. 1+ years work with continuous integration and build tools.
...",no,
Staff Engineer Software (Cloud NGFW),2025-03-08,https://jobright.ai/jobs/info/67cc6ad68c63a223c987c7f7?utm_source=1100&utm_campaign=Software Engineering,On Site,"Santa Clara, CA",Palo Alto Networks,10000+,"Cloud Security,Cyber Security",$104000-$169500 /yr,"1. Hands-on programming skills in one - Go or Python
2. Experience with cloud-native service development stack, preferably AWS
3. Strong knowledge of NoSQL databases
4. Experience building scalable REST/GraphQL API services
5. Ability to explain the design/development rationale behind decisions
...",not sure,
"Software Engineer, Displays Software (Starship)",2025-03-08,https://jobright.ai/jobs/info/6793fb1103b52f3812367bbe?utm_source=1100&utm_campaign=Software Engineering,On Site,"Hawthorne, CA",SpaceX,10000+,"Advanced Materials,Aerospace",$120K-$145K /yr,"1. Bachelor’s degree in computer science, software engineering, computer engineering, electrical engineering or other engineering discipline.
2. 1+ years experience of software development (internship and school projects experience qualify).
3. Willing to work long hours and weekends as needed.
4. Located in Hawthorne, with frequent travel to Starbase.",no,
Front End Developer - Tech Impact Fellowship - Data Innovation Lab (Wave 2),2025-03-08,https://jobright.ai/jobs/info/67cc7063a1a9c104b01a9637?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Newark, DE",Tech Impact,51-100,,$70K-$70K /yr,"1. Commitment to leveraging data for social good.
2. Ability to be able to pick up new technologies/skills quickly.
3. Experience with front-end JavaScript frameworks such as React, Vue, and Angular.
4. Experience using Node.js/NPM to install and develop new packages and modules.
5. Understanding of ES6+ principles.",not sure,
Software Developer,2025-03-08,https://jobright.ai/jobs/info/67cc678099706773a71308ff?utm_source=1100&utm_campaign=Software Engineering,On Site,"Corona, CA",Paramount Residential Mortgage Group Inc. (PRMG Inc.),1001-5000,"Consulting,Finance",$85K-$100K /yr,"1. Basic understanding of C#, .NET, JavaScript, HTML, CSS, and SQL.
2. Strong problem-solving and analytical skills.
3. Willingness to learn new technologies and collaborate in a team setting.
4. Excellent communication skills to work effectively with team members.
5. Bachelor’s degree in Computer Science, Software Engineering, or a related field (or equivalent experience)",not sure,
NetApp Emerging Talent - Entry Level Software Engineer - Cloud,2025-03-08,https://jobright.ai/jobs/info/679af94e8e1ef0694e3e5fbc?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Wichita, KS
San Jose, CA
Boulder, CO
Cranberry Township, PA
Triangle, NC
Waltham, MA",NetApp,10000+,"Cloud Computing,Data Management",$101K-$150K /yr,"1. Proficiency in programming languages such as C, C++, Python, scripting, etc.
2. Knowledge of or experience working on Linux, AWS/Azure/GCP and Kubernetes
3. Knowledge of or experience with SQL Document Databases (e.g., Mongo DB, Cassandra, Cosmos DB, Document DB)
4. Knowledge of CI/CD pipelines and tools (e.g., Jenkins, GitLab CI)
5. Familiarity with infrastructure as code (IaC) tools (e.g., Terraform, CloudFormation, ARM)
...",not sure,yes
Software Developer -- Entry Level,2025-03-08,https://jobright.ai/jobs/info/67ca807f32bfc37a29c64fe8?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Mobile, AL
Knoxville, TN",CGI,10000+,"Analytics,Application Performance Management",$47K-$92K /yr,"1. A bachelor’s degree in a relevant field (i.e.: Computer Science, Computer Engineering, or a similar major with extensive computer-based or technical content)
2. Experience with SQL, Java, C++, J2EE, C# and/or .Net development
3. The ability to learn and understand new technologies quickly
4. A great attitude and desire for learning
5. Excellent problem solving, written and verbal communication skills
...",no,
"Associate/Senior Associate, Software Engineer - Analytics Development",2025-03-08,https://jobright.ai/jobs/info/6792d76f59034638ee5f895e?utm_source=1100&utm_campaign=Software Engineering,Remote,"Maryland, United States",Ankura,1001-5000,"Advice,Consulting",$50K-$120K /yr,"1. Bachelor degree in Computer Science, Information Technology, or related field (or equivalent practical experience).
2. Proficiency in at least one programming language from C#, Python, or Java.
3. Basic understanding of front-end technologies including HTML, CSS, and JavaScript.
4. Strong problem-solving skills and the ability to learn new technologies quickly.
5. Excellent communication skills and the ability to work collaboratively in a team environment.",not sure,
"Software Engineer, PhD, Early Career, Campus, 2025 Start",2025-03-08,https://jobright.ai/jobs/info/66e9216322eef8e427ec6829?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Bellevue, WA
Sunnyvale, CA
Seattle, WA
Raleigh, NC
San Francisco, CA
Atlanta, GA
Los Angeles, CA
Irvine, CA
Pittsburgh, PA
Durham, NC
Austin, TX
San Jose, CA
Kirkland, WA
Cambridge, MA
Reston, VA
New York, NY
Mountain View, CA
San Bruno, CA",Google,10000+,"Apps,Artificial Intelligence (AI)",$136K-$200K /yr,"1. PhD degree in Computer Science or related technical field.
2. Experience coding in one of the following programming languages including but not limited to: C, C++, Java, JavaScript, Python, or Golang.",not sure,
